month,gmv,funded_amount,avg_days_outstanding,num_invoices,num_boxes,accrued_interests,arrangement_fees,avg_portfolio_outstanding,cargo_insurance_costs,cargo_insurance_fees,cash_drag,cost_of_funds_accrued,costs_docs_delivery,docs_management_fees,gmv_insured_pct,handling_warehouse_costs,handling_warehouse_fees,logistic_costs,logistic_fees,usd_eur_rate_eom
1/1/2025,11410486.36,10158861.41,18.0,54.0,91.0,50067.219300000004,46682.443100000004,5747768.5038,3560.4141,4758.286499999999,0.27,69762.9335,149.8262,121.8514,0.14550000000000002,,,11480.92,11480.92,0.97
2/1/2025,12624212.16,11598012.48,18.0,51.0,97.0,65401.85279999999,50558.659199999995,7627848.8544,2395.8336,2166.8927999999996,0.14,70035.28319999999,138.8928,138.8928,0.08310000000000001,,,19168.32,19168.32,0.96
3/1/2025,6479488.24,5691267.2,27.0,25.0,47.0,44633.41360000001,26620.522,4979128.844400001,1051.6888000000001,1378.942,0.45,79298.9584,61.64,61.64,0.0839,,,5440.88,5120.72,0.92
4/1/2025,8188040.08,6942792.56,19.0,41.0,65.0,38911.2944,30573.9016,4386547.396000001,2473.4336,2590.7464,0.27,49239.0096,119.592,119.592,0.1379,,,13767.6,13767.6,0.88
5/1/2025,11962843.2,10691516.0,18.0,55.0,90.0,60791.112799999995,49089.5152,6347163.4952,3694.1608,4332.9792,0.23,71641.64480000001,238.48,238.48,0.1234,,,16572.16,16544.0,0.88
6/1/2025,9325132.4,8247628.2,22.0,43.0,71.0,55092.826499999996,38308.5225,6142798.7425,-34204.663,4438.2325,0.29,68606.5515,,2789.7,-0.4235,2362.3624999999997,2362.3624999999997,-14142.3,14142.3,0.85
7/1/2025,10884441.92,9348477.6,18.0,53.0,88.0,52897.46,44263.0936,5369904.2056,-6920.6104,2699.6288000000004,0.17,62068.511999999995,,,0.0576,511.77279999999996,511.77279999999996,4496.8,4496.8,0.88
8/1/2025,5525523.6414,4148346.1121999994,33.0,41.0,57.0,43944.976599999995,450097.4948,4478851.2588,250.948,-26722.8488,0.31,52410.8338,0.0,56.76,-0.1274,,0.0,6014.84,6014.84,0.86
9/1/2025,7068514.5628,7838453.7976,,44.0,64.0,26706.9474,36261.0916,4726099.771,-755.2520000000001,674.24,,,0.0,0.0,,,0.0,0.0,0.0,0.86
